书名,价格,简介,出版信息
 呐喊・彷徨 : 鲁迅小说集（2020全新版本）,¥13.94,★今天我们中国社会遇见的所有问题，鲁迅都曾《呐喊》《彷徨》里提到过；鲁迅是超越时代的，今天，我们读鲁迅，更有其深刻意义。 ★经典中的经典，青少年向上、进取书。每个少年都应该 呐喊 ，每个少年都逃不开 彷徨 。 ★《呐喊》是鲁迅先生的白话短篇小说集，收录了1918年至1922年间所写小说8篇。《彷徨》收录了1924年至1925年间创作的11篇小说。 ★鲁迅的作品是中国社会的一面镜子，是现代文学的典范。,鲁迅著 知书达礼 出品 /2020-06-01  /台海出版社
 呐喊,¥11.52,,鲁迅 /2017-10-01  /中国友谊
 呐喊 鲁迅著人民文学出版社正版全本无删减版 七八九年级读物初高中生课外读物名著书籍口碑世界名著阅读,¥9.60,,鲁迅 /1979-02-01  /人民文学出版社
 呐喊（无障碍阅读 各省级教育专家联袂推荐课外阅读）,¥12.90,该套丛书精选国外文学经典，由著名翻译家宋兆霖、李玉民等倾力翻译，打造出这部既保留外国文学特色，又适合国内青少年读者阅读的经典名著，力图为青少年带来一场别开生面的外国文学盛宴，在注重阅读习惯培养、阅读方法掌握的同时，也能够汲取精华，不断的提升和强大自己。 为了实现这一宗旨，该丛书还根据青少年阅读的规律和习惯，给青少年名著阅读提出了明确的规划方向，旨在进行深阅读，以及有意义、有规律可循的价值阅读。诸如经典阅读中的《鲁滨逊漂流记》《钢铁是怎样炼成的》《名人传》等著作，本丛书在有针对性地给出具体的时间规划和阅读方法建议的同时，还*直接地探讨 什么是人 以及 人可以是什么 等自我价值、人生意义的主题，它对一个人树立正确的人生观与价值观，具有十分深远的影响。另外，借助经典名著的价值阅,鲁迅 /2017-05-01  /商务印书馆
 呐喊 彷徨鲁迅原著无删减完整版当当自营同款非人民文学教育出版社内附孔乙己 狂人日记 阿q正传 故乡 仿徨五六年级课外阅读,¥9.70,,鲁迅 /2020-08-01  /天地出版社
 国际大奖小说--呐喊红宝石,¥14.00,荣获2003年卡内基文学奖，内容曲折动人，深受小读者喜爱。,[美]莎朗・克里奇 /2022-09-01  /新蕾出版社
 呐喊无声（亚马逊女性成长榜单推荐小说，入围都柏林文学奖，横扫鹦鹉螺图书奖金奖及10余项文学大奖）,¥32.50,★登陆美国、英国、爱尔兰、加拿大、法国、意大利、西班牙、荷兰等20余个国家并不断再版。 ★一经出版便横扫10余项国际文学大奖： 入围都柏林文学奖 入围 美国豆瓣 Goodreads年度分类小说 鹦鹉螺图书奖金奖 FNAC小说奖（相当于 法国当当 年度小说） 法国《图书周刊》外国文学奖 米兰德作家协会奖 美国作家之友文学奖 《美国》年度文学奖 ★全球万千读者媒体含泪推荐，好评如潮。 亚马逊女性成长高分榜单推荐小说。 美国豆瓣 Goodreads好读网评分高达4.4分，与《你当像鸟飞往你的山》《�|蛄吟唱的地方》《那不勒斯四部曲》等高口碑女性成长小说持平，美国Amazon亚马逊网评分也高达4.5分。 《卫报》《观察家报》《洛杉矶时报》《图书周刊》《爱尔兰时报》《爱尔兰独立报》《娱乐周刊》《时尚》《书单》等媒体给予高度评价。 ★,[美]蒂芙尼・麦克丹尼尔 著； 书田文化 出品 /2023-05-01  /四川人民出版社
 呐喊 鲁迅原著无删减完整版精装鲁迅全集经典作品精选青少年高中鲁迅散文杂文集当当同款初中小学生课外阅读书籍推三四五六七八九,¥18.60,,鲁迅 /2020-08-01  /中国文联
 呐喊 百年纪念版 崇文书局,¥16.10,本套丛书共5册，收录了鲁迅先生最为经典的文学作品，包括短篇小说集《呐喊》《彷徨》《故事新编》、散文集《朝花夕拾》和散文诗集《野草》，为纪念鲁迅先生140年诞辰，还原这几部作品的初版原貌，本套书依据鲁迅先生亲自编辑定稿的传世母本，逐句恢复初版文本，复原初版封面设计，并依据通行标准进行繁简转换，以便读者阅读，书中附录收集了鲁迅手稿和初版旧照，极具研究价值。,鲁迅 /2021-10-01  /崇文书局
 鲁迅小说经典：呐喊・彷徨,¥31.04,★中国现代白话小说扛鼎之作！一代文豪为时代呐喊、渴望自由与光明的战歌。 ★二十世纪中文小说一百强。 ★风行百年，畅销不衰，激励着一代代的青年不断探索与前行！ ★希望本是无所谓有，无所谓无的。这正如地上的路；其实地上本没有路，走的人多了，也便成了路。,"鲁迅 著,酷威文化 出品 /2020-07-01  /万卷出版公司"
 呐喊 原著正版精装硬壳完整本 鲁迅 世界名著全书籍集 学校小学初中生青少年经典文学小说寒暑假课外阅读推荐书目新华文轩,¥10.80,,鲁迅 /2017-08-01  /中国文联出版社
 呐喊彷徨 故事新编 高中二年级上册整本经典分级阅读丛书 青少年经典名著课外阅读书籍老师推荐学生课外阅读书目,¥14.70,,鲁迅 /2020-07-01  /湖南文艺出版社
 呐喊 鲁迅 人民文学出版社原著无删减完整版当当自营同款高中版初中鲁迅小说作品全集狂人日记 阿q正传 孔乙己小初高课外阅读,¥14.80,,鲁迅 /2022-09-23  /人民文学出版社
 呐喊（1938年复社底本，现代白话文小说开山之作。收录鲁迅生平+照片+年谱，赠精美书签）（创美文库）,¥19.90,1.收录中国白话文小说开山之作《狂人日记》等，看鲁迅小说如何出道即巅峰，长销近百年。 2. 以1938年上海复社版为底本，原汁原味原版风貌，通假字和鲁迅习惯用字，按照原版保留。 3.鲁迅的多篇小说，入选中小学教材。 《少年闰土》选自小说集《呐喊》； 《社戏》选自小说集《呐喊》； 《故乡》选自小说集《呐喊》； 《孔乙己》选自小说集《呐喊》； 《呐喊》自序选自《呐喊》； 《药》选自小说集《呐喊》； 4.纪念《呐喊》首次出版100周年。全新装帧，大气高端，轻巧便携，让人赏心悦目。 5.喊不出的 呐喊 ，逃不掉的 彷徨 ！这一次，真正读懂鲁迅。 6.看一百年前，民族之魂写透人性，直击心灵，叫醒沉睡的中国人。读中国现代文学，先从鲁迅小说开始。绕不开的经典，读不够的鲁迅。 7.中国现代文学的C位之作，你书架上不能少的C位之书。,鲁迅 著，创美工厂 出品 /2023-07-01  /花城出版社
 呐喊 单行本 人民文学出版社,¥14.80,《呐喊》是鲁迅负有盛名的小说集之一，是中国现代小说的开山之作。收录1918年至1922年所作小说十四篇。代表性篇章有《狂人日记》《孔乙己》《药》《阿Q正传》《故乡》《社戏》等。表现了辛亥革命前后的社会思想状况，对封建主义和中国的国民性进行了批判。《呐喊》中的多篇小说收入中学及大中专院校语文教材。,鲁迅 /2006-12-01  /人民文学出版社
 呐喊 译林出版社,¥14.20,鲁迅1918至1922年所作短篇小说结集，另收有《狂人日记》《孔乙己》等14篇作品，是中国现代小说的开端与成熟的标志。,鲁迅 /2017-06-01  /译林出版社
 呐喊 南方出版社,¥14.10,★精美版式，名家彩插。★优质纸环保印刷，字大清晰不累眼。★权威底本，批注精析，学习任务指导，培养整本书阅读方法和素养。★高中统编语文教材延伸阅读，增设“走进名著”“阅读建议”“资料链接”等栏目，帮助学生科学高效阅读。,鲁迅 /2021-06-01  /南方出版社
 呐喊.彷徨(无障碍阅读名家名著版)(精装)(导读+注释+试题) 旅游教育出版社,¥18.50,阅读书目！呐喊・彷徨（精装名家名著版全新无删节 ）（导读+注释+试题）鲁迅著统编版()中小学推荐阅读名著全新的经典名著保留原版习惯用字、通假字和标点用法，原汁原味呈现原著。另外，附有导读、注释和试题，便于读者理解和学习。正确的价值导向阅读经典名著，有利于培养少年儿童正直、善良、勇敢、坚毅等优秀品质，帮助他们树立正确的价值观。权威的注音释义依据商务印书馆出版的《现代汉语词典》，对 书中的疑难字词进行了注音、释义，旨在帮助读者实现无障碍阅读。,鲁迅 /2019-07-01  /旅游教育出版社
 呐喊彷徨(无障碍名师导读)/中小学经典阅读名家名译,¥11.76,,鲁迅 /2017-08-01  /古吴轩
 呐喊・彷徨 古吴轩出版社,¥12.60,,鲁迅 /2017-08-01  /古吴轩出版社
 呐喊,¥10.72,,鲁迅|总主编:梅子涵 /2018-01-01  /化学工业
 呐喊 湖北教育出版社,¥8.80,,鲁迅 /2022-01-01  /湖北教育出版社
 呐喊 陕西师范大学出版社,¥10.70,一声来自铁屋中的呐喊，一本国人自省推荐阅读的教科书，一部以犀利笔锋剖析中国人的经典。,鲁迅 /2009-05-01  /陕西师范大学出版社
 呐喊/青少年文库,¥5.04,,鲁迅 /2010-03-01  /浙江文艺
 呐喊 鲁迅 人民文学出版社 当当自营同款 七年级上册语文阅读书目YC,¥10.00,,2023-10-01  /人民文学出版社
 呐喊 鲁讯 2014-06-01 【新华书店正版图书书籍】,¥0.90,,鲁讯 /2014-06-01  /重庆出版社
 呐喊 黑皮阅读升级版 高一下 中小学生阅读文库,¥12.60,1.20世纪中文小说100强 2.启迪民智，鼓舞人心：冷峻刻画小人物与大社会，深刻批判旧礼教与国民性3.广泛流传，影响深远：畅销百年，中国现代小说的开山之作，曾被译成英、法、日、捷克等多国文字。 4.正文及附录：十四篇文章，篇篇可谓文学经典；附录还收录了一些鲁迅先生的精彩杂文。5.茅盾、许寿裳、郑振铎共同推荐,鲁迅 /2018-12-01  /陕西师范大学出版社
 【新华先锋旗舰店正版】呐喊 黑皮阅读 作者鲁讯 中小学生课外阅读,¥7.70,一声来自铁屋中的呐喊，一本国人自省的教科书，一部以犀利笔锋剖析中国人的经典。,鲁迅 /2009-05-01  /陕西师范大学出版社
 【新华先锋旗舰店正版包邮】鲁迅代表作（朝花夕拾+呐喊） 经典中的经典，青少年摆脱冷气，向上、进取书,¥14.58,《朝花夕拾》是一部发人自省、催人奋进的教科书，也是认识中国人剖析中国人的经典范本。鲁迅曾说，他的哲学全在《野草》里，这是相当贴近鲁迅内心的一部作品。 如今，我们社会遇见的大多数问题，鲁迅都曾在《呐喊》和《彷徨》中提到过。 ◎ 经典中的经典，青少年摆脱冷气，向上进取动力来源。 鲁迅是跨时代的，今天，我们读鲁迅更有深刻的意义。早在民国时期，鲁迅便深刻剖析过中国人的性格特征。此外，鲁迅的作品中金句频出，今天读来依然醍醐灌顶、回味无穷。,鲁迅 /2009-05-01  /陕西师范大学出版社
 呐喊-语文优秀课外阅读 名家名著经典文库(名师全解版),¥5.69,一声来自铁屋中的呐喊，一本国人自省的教科书，一部以犀利笔锋剖析中国人的经典。 《呐喊(名师全解版)》是鲁迅先生1918年至1922年间所创作的短篇小说的结集，作品真实地描绘了从辛亥革命到五四时期中国的社会生活，揭示了种种深层次的社会矛盾，对封建制度及陈腐的传统观念进行了深刻的剖析和彻底的否定，表现了作者对民族生存的强烈关怀和对社会变革的深刻思考。,"鲁迅,公维建 /2014-06-01  /吉林人民出版社"
 呐喊(现代文学名著原版珍藏 第一辑),¥14.50,,鲁迅 著，捧读文化 出品 /2018-01-01  /百花文艺出版社
 呐喊 鲁迅 著 中国新文学的奠基之作 当代文学小说 中学语文教学大纲指定书目 繁星春水骆驼祥子老舍朱自清散文选朝花夕拾,¥15.20,,鲁迅 著 /2016-01-01  /天津人民出版社
 呐喊：评注插图本(随机发限量作者签名+钤印本)《呐喊》初版100周年纪念版 随书附赠鲁迅断发照、鲁迅手书七绝等珍贵卡片,¥38.60,★《呐喊》初版100周年纪念版。 ★孙郁 中国人民大学文学院院长，董炳月 中国鲁迅研究会会长，阎晶明 中国作家协会副主席，毕于阳 高中语文教科书核心编者，高远东 北京大学中文系教授 联袂推荐 ★评注者为中国鲁迅研究会常务副会长黄乔生，对鲁迅原作、鲁迅研究文本、鲁迅生平如数家珍，悉心对《呐喊》作不同一般的注。 ★ 以鲁注鲁 ，兼及古今，首要目的是回到鲁迅本意。 ★数十幅珍贵图片，有鲁迅像、鲁迅手稿、画家插画等。 ★装帧精美，参照《呐喊》初版封面铺深红色，镂空，透出画家颜铁良版画《华老栓》，裸脊锁线精装。宜收藏。,"鲁迅 著, 黄乔生 评注 /2024-04-01  /北京大学出版社"
