书名,评
论数,作者,出版日期,出版社,价格,电子书价格
知行合一王阳明（百万读者的心学入门书！深入解读知行合一及其创...,183459条评论99.8%推荐,度阴山；读客文化 出品,2021-11-15,江苏凤凰文艺出版社,24.95,¥49.80
马尔克斯：百年孤独（50周年纪念版）,2343869条评论99.9%推荐,加西亚・马尔克斯 著，新经典 出品,2017-08-01,南海出版公司,39.6,¥35.99
太白金星有点烦（马伯庸历史短小说“见微”系列口碑新作）,79600条评论100%推荐,"马伯庸 著,博集天卷 出品",2023-06-01,湖南文艺出版社,29.0,¥26.90
悉达多（翻译家姜乙译本）【果麦经典】,300154条评论100%推荐,[德]赫尔曼・黑塞，译者：姜乙，果麦文化 出品,2017-01-01,天津人民出版社,16.0,¥3.99
摄影轻松入门一本就够（全彩）,129030条评论100%推荐,先锋影像,2018-04-01,电子工业出版社,39.6,¥17.99
故宫博物院 孩子一定要去的博物馆 图说天下精装版,107433条评论100%推荐,王大庆 主编，日知童书 出品,2023-06-01,北京联合出版有限公司,19.5,...
作家榜名著：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻...,1547391条评论100%推荐,[英] 毛姆 著，作家榜经典名著 出品，徐淳刚（诗人） 译，大星文化，高更 绘,2017-01-10,浙江文艺出版社,19.9,¥3.99
悉达多（诺贝尔文学奖得主赫尔曼・黑塞的代表作，德文直译，原版...,113486条评论100%推荐,（德）赫尔曼・黑塞著 赵丽慧译,2020-12-01,民主与建设出版社,14.9,¥4.99
果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和...,348495条评论100%推荐,袁了凡 著，译者 费勇，果麦文化 出品,2017-09-01,三秦出版社,16.0,¥1.99
认知觉醒：开启自我改变的原动力,239291条评论100%推荐,周岭,2020-09-01,人民邮电出版社,29.9,¥59.80
平凡的世界：全三册（全新2021版，茅盾文学奖获奖作品，激励青年...,1161742条评论100%推荐,路遥  著 ， 新经典  出品,2021-06-01,北京十月文艺出版社,98.0,¥90.09
