date,city,country,weather,max_temperature,min_temperature,Wind,Wind_level
2023/12/31,赤峰,中国,晴,-5.0,-13.0,西北风,微风
2023/12/31,雷波,中国,小雨,13.0,5.0,北风,微风
2023/12/31,武清,中国,晴,3.0,-8.0,西北风,4~5级
2023/12/31,百色,中国,多云,26.0,17.0,东南风,微风
2023/12/31,宁冈,中国,晴,20.0,7.0,西北风,微风
2023/12/31,蔡家湖,中国,晴,-5.0,-10.0,东风,微风
2023/12/31,南澳,中国,多云,24.0,14.0,东风,3~4级
2023/12/31,南漳,中国,晴,11.0,0.0,无持续风向,微风
2023/12/31,仪征,中国,晴,7.0,-3.0,北风,微风
2023/12/31,德化,中国,多云,22.0,7.0,无持续风向,微风
2023/12/31,息烽,中国,阵雨,14.0,7.0,南风,微风
2023/12/31,珠峰大本营,中国,晴,-2.0,-14.0,无持续风向,微风
2023/12/31,卫辉市,中国,晴,6.0,-5.0,东北风,微风
2023/12/31,鞍山,中国,多云,-6.0,-15.0,南风,4~5级
2023/12/31,苍梧,中国,多云,25.0,15.0,北风,微风
2023/12/31,阳泉,中国,晴,3.0,-9.0,东风,微风
2023/12/31,固安,中国,晴,4.0,-12.0,北风,3~4级
2023/12/31,长垣县,中国,晴,7.0,-5.0,东北风,微风
2023/12/31,乌拉特前旗,中国,晴,0.0,-10.0,西南风,微风
2023/12/31,宁城,中国,晴,-6.0,-14.0,西北风,微风
2023/12/31,阜城,中国,晴,5.0,-9.0,东北风,3~4级
2023/12/31,博湖,中国,晴,0.0,-14.0,南风,微风
2023/12/31,永胜,中国,多云,14.0,0.0,无持续风向,微风
2023/12/31,上林,中国,多云,25.0,15.0,东风,微风
2023/12/31,瓮安,中国,小雨,11.0,4.0,东南风,微风
2023/12/31,睢县,中国,晴,7.0,-4.0,东北风,微风
2023/12/31,台安,中国,晴,-6.0,-18.0,南风,5~6级
2023/12/31,北辰,中国,晴,3.0,-8.0,西北风,4~5级
2023/12/31,盘山,中国,多云,-6.0,-17.0,北风,4~5级
2023/12/31,禄劝,中国,晴,18.0,1.0,无持续风向,微风
2023/12/31,勐海,中国,晴,22.0,7.0,无持续风向,微风
2023/12/31,宿迁,中国,晴,6.0,-3.0,东北风,微风
2023/12/31,临颍县,中国,晴,9.0,-4.0,东北风,微风
2023/12/31,奉新,中国,晴,17.0,2.0,西风,微风
2023/12/31,扶余,中国,晴,-13.0,-27.0,北风,微风
2023/12/31,勃利,中国,晴,-14.0,-23.0,北风,3~4级
2023/12/31,昂仁,中国,多云,3.0,-13.0,无持续风向,微风
2023/12/31,横县,中国,多云,25.0,17.0,东风,微风
2023/12/31,耒阳,中国,多云,20.0,8.0,北风,微风
2023/12/31,夏县,中国,晴,9.0,-2.0,东风,微风
2023/12/31,资中,中国,阴,12.0,8.0,南风,微风
2023/12/31,娄烦,中国,晴,2.0,-12.0,东北风,微风
2023/12/31,石台,中国,晴,13.0,-2.0,东北风,微风
2023/12/31,新津,中国,小雨,11.0,6.0,南风,微风
2023/12/31,太原北郊,中国,晴,4.0,-9.0,东北风,微风
2023/12/31,锦屏,中国,阴,17.0,7.0,北风,微风
2023/12/31,岳阳,中国,晴,16.0,5.0,东北风,微风
2023/12/31,杞县,中国,晴,8.0,-4.0,东北风,微风
2023/12/31,民勤,中国,晴,2.0,-9.0,无持续风向,微风
2023/12/31,谢通门,中国,多云,6.0,-10.0,无持续风向,微风
2023/12/31,五寨,中国,晴,-1.0,-13.0,西风,微风
2023/12/31,河源,中国,多云,25.0,13.0,无持续风向,微风
2023/12/31,明溪,中国,晴,23.0,7.0,无持续风向,微风
2023/12/31,罗平,中国,多云,19.0,8.0,无持续风向,微风
2023/12/31,广饶,中国,多云,4.0,-9.0,无持续风向,微风
2023/12/31,抚州,中国,晴,20.0,5.0,西南风,微风
2023/12/31,东阿,中国,晴,5.0,-7.0,无持续风向,微风
2023/12/31,永嘉,中国,晴,20.0,2.0,北风,3~4级
2023/12/31,桂林,中国,多云,21.0,12.0,北风,微风
2023/12/31,榆林,中国,晴,0.0,-8.0,东北风,微风
2023/12/31,沅陵,中国,多云,15.0,6.0,东北风,3~4级
2023/12/31,福泉,中国,小雨,13.0,5.0,东北风,微风
2023/12/31,金昌,中国,晴,3.0,-9.0,无持续风向,微风
2023/12/31,永丰,中国,晴,20.0,5.0,南风,微风
2023/12/31,陵县,中国,晴,3.0,-9.0,无持续风向,微风
2023/12/31,万州,中国,多云,13.0,8.0,东风,微风
2023/12/31,玉溪,中国,晴,18.0,4.0,无持续风向,微风
2023/12/31,单县,中国,雾,8.0,-4.0,无持续风向,微风
2023/12/31,磐石,中国,多云,-8.0,-21.0,西北风,微风
2023/12/31,建湖,中国,晴,6.0,-2.0,北风,微风
2023/12/31,昌乐,中国,多云,2.0,-8.0,无持续风向,微风
2023/12/31,朗县,中国,多云,12.0,-4.0,无持续风向,微风
2023/12/31,巴林右旗,中国,晴,-6.0,-15.0,西北风,微风
2023/12/31,浮梁,中国,晴,18.0,2.0,南风,微风
2023/12/31,曲阜,中国,多云,7.0,-5.0,无持续风向,微风
2023/12/31,渑池,中国,晴,8.0,-3.0,东风,微风
2023/12/31,澧县,中国,晴,15.0,5.0,北风,微风
2023/12/31,岐山,中国,晴,5.0,-2.0,西南风,微风
2023/12/31,肥城,中国,晴,5.0,-6.0,无持续风向,微风
2023/12/31,泗水,中国,多云,6.0,-6.0,无持续风向,微风
2023/12/31,潞城,中国,晴,3.0,-7.0,东北风,3~4级
2023/12/31,澄城,中国,晴,5.0,-2.0,东北风,3~4级
2023/12/31,绩溪,中国,晴,14.0,-1.0,北风,3~4级
2023/12/31,会理,中国,晴,18.0,2.0,南风,微风
2023/12/31,湖州,中国,晴,10.0,0.0,北风,4~5级
2023/12/31,阿合奇,中国,晴,2.0,-9.0,西北风,微风
2023/12/31,高碑店,中国,晴,4.0,-9.0,北风,微风
2023/12/31,乌斯太,中国,晴,1.0,-8.0,西风,微风
2023/12/31,通辽,中国,晴,-9.0,-16.0,北风,3~4级
2023/12/31,修水,中国,晴,16.0,1.0,北风,微风
2023/12/31,汤阴县,中国,晴,6.0,-5.0,东北风,微风
2023/12/31,铜鼓,中国,晴,19.0,2.0,西风,微风
2023/12/31,思南,中国,小雨,10.0,6.0,北风,微风
2023/12/31,印江,中国,小雨,9.0,5.0,西北风,微风
2023/12/31,峨山,中国,晴,19.0,4.0,无持续风向,微风
2023/12/31,井研,中国,阴,11.0,7.0,南风,微风
2023/12/31,宝鸡,中国,多云,4.0,0.0,西南风,微风
2023/12/31,胶州,中国,晴,2.0,-6.0,北风,4~5级
2023/12/31,赤壁,中国,晴,16.0,4.0,无持续风向,微风
2023/12/31,涿州,中国,晴,5.0,-9.0,南风,微风
