类别,名称,最低价,平均价,最高价,规格,产地,计量单位,发布日期
水果,宁玉草莓,8.0,12.0,16.0,,,斤,2024-01-02 00:00:00
水果,甜宝草莓,13.0,16.5,20.0,奶油,,斤,2024-01-02 00:00:00
水果,红颜草莓,10.0,16.0,22.0,,,斤,2024-01-02 00:00:00
水果,火龙果,4.0,5.0,6.0,红,,斤,2024-01-02 00:00:00
水果,火龙果,3.0,3.75,4.5,白,,斤,2024-01-02 00:00:00
水果,板栗,2.8,3.15,3.5,,,斤,2024-01-02 00:00:00
水果,油栗,7.5,8.75,10.0,,,斤,2024-01-02 00:00:00
水果,木瓜,5.5,5.75,6.0,,,斤,2024-01-02 00:00:00
水果,柿饼,6.0,7.0,8.0,,,斤,2024-01-02 00:00:00
水果,磨盘柿子,1.2,1.6,2.0,,,斤,2024-01-02 00:00:00
水果,脆皮柿子,1.5,1.75,2.0,,,斤,2024-01-02 00:00:00
水果,甘蔗,1.5,1.58,1.65,,,斤,2024-01-02 00:00:00
