('180', '卢旺达饭店', '8.9')
('181', '疯狂的石头', '8.6')
('182', '记忆碎片', '8.7')
('183', '无间道2', '8.7')
('184', '雨中曲', '9.1')
('185', '2001太空漫游', '8.9')
('186', '小偷家族', '8.7')
('187', '岁月神偷', '8.7')
('188', '无敌破坏王', '8.7')
('189', '忠犬八公物语', '9.2')
('190', '荒蛮故事', '8.8')
('191', '冰川时代', '8.6')
('192', '爆裂鼓手', '8.7')
('193', '恐怖游轮', '8.5')
('194', '牯岭街少年杀人事件', '8.9')
('195', '东京教父', '9.0')
('196', '魔女宅急便', '8.7')
('197', '大佛普拉斯', '8.7')
('198', '贫民窟的百万富翁', '8.6')
('199', '遗愿清单', '8.7')
('200', '东邪西毒', '8.6')
('201', '你看起来好像很好吃', '8.9')
('202', '可可西里', '8.9')
('203', '末路狂花', '8.9')
('204', '城市之光', '9.3')
('205', '源代码', '8.5')
('206', '黑天鹅', '8.6')
('207', '海边的曼彻斯特', '8.6')
('208', '真爱至上', '8.5')
('209', '波西米亚狂想曲', '8.6')
('210', '雨人', '8.7')
('211', '青蛇', '8.6')
('212', '初恋这件小事', '8.5')
('213', '爱乐之城', '8.4')
('214', '人工智能', '8.7')
('215', '疯狂的麦克斯4：狂暴之路', '8.7')
('216', '终结者2：审判日', '8.8')
('217', '芙蓉镇', '9.3')
('218', '恋恋笔记本', '8.5')
('219', '虎口脱险', '8.9')
('220', '新龙门客栈', '8.7')
('221', '罗生门', '8.8')
('222', '无耻混蛋', '8.7')
('223', '崖上的波妞', '8.6')
('224', '花束般的恋爱', '8.6')
('225', '千钧一发', '8.8')
('226', '彗星来的那一夜', '8.6')
('227', '哈利·波特与死亡圣器(上)', '8.6')
('228', '高山下的花环', '9.5')
('229', '萤火虫之墓', '8.7')
('230', '白日梦想家', '8.6')
('231', '黑客帝国2：重装上阵', '8.7')
('232', '奇迹男孩', '8.6')
('233', '火星救援', '8.5')
('234', '二十二', '8.7')
('235', '战争之王', '8.7')
('236', '血钻', '8.7')
('237', '步履不停', '8.8')
('238', '千年女优', '8.8')
('239', '哈利·波特与凤凰社', '8.5')
('240', '房间', '8.8')
('241', '魂断蓝桥', '8.8')
('242', '谍影重重2', '8.7')
('243', '大红灯笼高高挂', '8.8')
('244', '蜘蛛侠：平行宇宙', '8.6')
('245', '弱点', '8.7')
('246', '谍影重重', '8.6')
('247', '阿飞正传', '8.5')
('248', '朗读者', '8.6')
('249', '再次出发之纽约遇见你', '8.6')
('250', '隐藏人物', '8.9')
