职位名称,薪资,工作经验,学历要求,工作地点,公司名称
网络安全工程师,12-20K,3-5年,本科,成都·双流区·华阳,知行志成
网络安全工程师,7-8K,1-3年,本科,成都·青羊区·光华,湖南大唐先一
网络安全工程师,15-30K,3-5年,本科,成都·郫都区·高新西,华为云计算
网络安全研究员,11-20K·14薪,经验不限,本科,成都·武侯区·高朋大道,网域探行
网络安全研究员,6-11K,经验不限,大专,成都·青羊区·东坡,云图信安
网络安全工程师,6-11K,3-5年,大专,成都·金牛区·茶店子,成都岷扬
网络安全工程师,5-8K,3-5年,大专,成都·武侯区·紫荆,森淼荣业
网络安全讲师/工程师,160-210元/天,4天/周,2个月,成都·锦江区·万达广场,御之安
高级网络安全工程师,20-25K,3-5年,本科,成都·武侯区·簇桥,文渊阁科技
网络安全讲师-比赛方向,15-20K·15薪,经验不限,本科,成都·武侯区·孵化园,深信服科技
网络安全讲师,10-15K,1-3年,本科,成都·武侯区·银泰城,知了堂
网络安全工程师,20-23K,1-3年,本科,成都·锦江区·春熙路,金蜜工业卫士
网络安全工程师,20-25K,1-3年,大专,成都·双流区·华阳,八骏科安
网络安全工程师,9-14K,1-3年,本科,成都·武侯区·机投,中网信安科技有限...
网络安全测试专员,6-12K,在校/应届,本科,成都·青羊区·光华,若逊信息
网络安全工程师,10-15K,1-3年,大专,成都,正阳天下科技
网络安全咨询顾问,15-25K·13薪,5-10年,本科,成都·锦江区·太古里,国城信息
网络安全项目专员,20-30K·16薪,1-3年,本科,成都·郫都区·高新西,华为
阿里云—网络安全专家,25-35K·16薪,3-5年,本科,成都·武侯区·大源,阿里云
网络安全工程师（成都）,8-10K,1-3年,学历不限,成都·武侯区·桂溪,四川准达
网络安全服务工程师,80-100元/天,5天/周,6个月,成都·武侯区·跳伞塔,澄信科技
网络安全研究实习生,60-100元/天,4天/周,3个月,成都·武侯区·成都高新区,深秋科技
网络安全工程师,6-11K,3-5年,大专,成都·金牛区·抚琴,融安网络
网络安全工程师,8-10K·13薪,3-5年,本科,成都·武侯区·桂溪,天宜锂业
网络安全开发工程师——终端密码安全类,12-20K·13薪,经验不限,本科,成都,德赛西威
信息网络安全工程师,7-10K,3-5年,本科,成都·武侯区·跳伞塔,初铭诚创
网络安全工程师【OD】,13-26K,经验不限,本科,成都·郫都区·高新西,华为技术有限公司
信息网络安全工程师,5-8K·13薪,1-3年,大专,成都·双流区·中和,四维创新
资深网络安全工程师,20-30K,5-10年,硕士,成都·新都区·西南石油大学,慧油科技
网络安全实习生（成都）,70-120元/天,5天/周,2个月,成都·武侯区·红牌楼,厦门一通灵
高级网络安全研究员,15-30K,3-5年,学历不限,成都·双流区·华阳,电科网安
高级网络安全研究员,12-20K,经验不限,学历不限,成都·武侯区·新会展中心,定星科技
高级/资深网络安全工程师,35-60K·14薪,10年以上,本科,成都·武侯区·银泰城,小华半导体有限公司
信息网络安全工程师,10-15K·14薪,经验不限,本科,成都·武侯区·桂溪,八股科技
高级网络安全工程师,30-50K,3-5年,本科,成都·武侯区·红牌楼,成都三木天辰科技
网络安全工程师,4-6K,经验不限,大专,成都·武侯区·磨子桥,广信源
网络安全培训总监,11-20K,3-5年,本科,成都·武侯区·红牌楼,中科至善
网络安全工程师,30-60K·16薪,经验不限,本科,成都·锦江区·春熙路,百度
网络安全运维工程师,12-24K,3-5年,本科,成都·金牛区·茶店子,四川航天七零六
网络安全实施工程师,11-18K·13薪,5-10年,本科,成都·武侯区·成都高新区,信一创科技
高级网络安全工程师,10-15K,5-10年,本科,成都·金牛区·营门口,成都天宇宏成网络科技
网络安全高级工程师,10-15K,1-3年,本科,成都·武侯区·新会展中心,成都垚杰锦辰科技...
网络安全服务工程师,10-15K,3-5年,大专,成都·成华区·龙潭,奇安优服
网络安全项目经理,15-30K·13薪,3-5年,本科,成都·成华区·新华公园,中国电信安全公司
高级网络安全工程师,10-11K,10年以上,本科,成都·成华区·龙潭,四川省寰宇众恒科技
网络安全服务工程师,12-16K·13薪,3-5年,本科,成都,安恒愿景
网络安全研发工程师,15-30K,3-5年,本科,成都·武侯区·石羊场,盛拓源
汽车高级网络安全工程师（含专家岗）,19-35K,5-10年,硕士,成都·武侯区·孵化园,航盛电子
网络安全等级保护测评师,5-9K·13薪,1-3年,本科,成都·武侯区·新会展中心,锐信安
网络安全数据挖掘分析师,10-15K,1-3年,学历不限,成都·武侯区·环球中心,心中有数
信息网络安全工程师（兼职）,4-5K,1-3年,本科,成都·金牛区·中海国际,四川锦成信息技术
网络安全研究测试交付工程师,6-9K,1-3年,本科,成都·武侯区·火车南站,智信锐捷
网络安全规划工程师（通威股份总部）,13-25K·15薪,5-10年,本科,成都·武侯区·新会展中心,通威股份
网络安全威胁情报分析高级工程师,16-30K,3-5年,硕士,成都·武侯区·创业路,中国网安
信息安全,9-14K,5-10年,本科,成都·双流区·中和,芊雪居
信息安全工程师,20-30K,3-5年,本科,成都·武侯区·新会展中心,兴达瑞科技有限公司
信息安全技术经理,12-18K,3-5年,本科,成都·金牛区·荷花池,赛宝认证
信息安全工程师,12-20K,3-5年,本科,成都,易冲半导体
信息安全售前顾问,5-9K,1-3年,大专,成都·武侯区·高升桥,博润电力
信息安全工程师,8-13K,1-3年,本科,成都·双流区·华府,核动力院
信息安全工程师,20-30K·17薪,3-5年,本科,成都·武侯区·新会展中心,欧珀
汽车信息安全产品经理/助理,7-12K,3-5年,本科,成都·武侯区·紫荆,车小米
汽车信息安全工程师,12-23K,3-5年,本科,成都,安智杰研发中心
信息安全高级研究员,25-40K,经验不限,博士,成都·武侯区·孵化园,海纳数联科技
信息安全工程师,6-8K,经验不限,本科,成都·双流区·华阳,中科院信息技术
信息安全工程师,10-15K,3-5年,硕士,成都·新都区·大丰,合星图
车载信息安全工程师,23-40K·13薪,5-10年,本科,成都·双流区·华阳,摩斯智联
信息安全工程师（实习生）,180-210元/天,5天/周,6个月,成都·锦江区·柳江,久远银海
网络与信息安全工程师,5-10K,1-3年,大专,成都·武侯区·玉林,四川嘉行科技
信息安全销售工程师（助理）,6-9K,1-3年,学历不限,成都·青羊区·黄田坝,成都晶元
中昇认证招聘体系审核员,800-1000元/天,5天/周,1个月,成都·成华区·龙潭,中昇认证
网络安全,5-8K,3-5年,本科,成都·青羊区·东坡,合颂
网络安全,10-15K,3-5年,本科,成都·武侯区·新会展中心,成都三零普瑞科技
网络安全渗透测试工程师,4-8K,1-3年,大专,成都·武侯区·环球中心,卓越华安
网络/安全,3-8K,经验不限,学历不限,成都·成华区·建设路,腾达远创
网络安全实习生,5-8K·15薪,经验不限,本科,成都·武侯区·新会展中心,立航
网络安全工程师,8-13K,5-10年,大专,成都·锦江区·琉璃场,汉唐云
网络安全工程师,4-7K,1-3年,大专,成都·武侯区·神仙树,升博
网络安全架构师,25-35K,5-10年,本科,成都·双流区·华阳,绿盟科技
网络安全（成都）,12-20K,3-5年,本科,成都·青羊区·汪家拐,贝特
网络安全工程师,10-12K,1-3年,本科,成都·成华区·建设路,众联汇科技
网络安全售后工程师,6-10K·13薪,3-5年,大专,成都·武侯区·新会展中心,汇睿科技
网络安全售前工程师,4-8K,1-3年,学历不限,成都·武侯区·磨子桥,同创众联
网络安全售前工程师,8-13K,经验不限,本科,成都·武侯区·中和,澜凯信安
政企渠道销售（网络安全）,10-15K,1-3年,大专,成都·武侯区·红牌楼,天融信教育
网络安全售前咨询顾问（高级）,10-15K,经验不限,本科,成都·双流区·华阳,汉安数智
网络安全渗透测试工程师,6-10K·13薪,经验不限,大专,成都·青羊区·贝森,成都达维捷科技有...
Linux C网络安全开发工程师,20-35K·14薪,3-5年,本科,成都·武侯区·成都高新区,远江盛邦
网络安全高级AI算法工程师,15-20K·13薪,3-5年,本科,成都·武侯区·孵化园,英得赛克
智巢公寓管理APP网络安全工程师2W,12-20K,3-5年,本科,成都·双流区·华阳,智巢公寓管理
【校招】软件开发/硬件/AI/算法/网络安全,15-30K·16薪,在校/应届,本科,成都·郫都区·红光镇,西安华为
